ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45106 5 45360 9 45615 10 45870 12 46126 11 46381 12 46638 10 46894 8 47152 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,11662 1 11916 5 12170 7 12426 8 12681 8 12937 8 13194 6 13450 5 13708 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,51099 1 51353 5 51607 7 51862 9 52118 8 52373 9 52629 8 52884 9 53140 8 53395 8 53652 6 53908 5 54166 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,39077 1 39331 5 39585 7 39840 9 40096 9 40351 10 40607 9 40863 9 41120 7 41376 7 41633 5 41891 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47230 1 47749 3 48268 3 48787 4 49306 5 49825 6 50344 6 50863 7 51382 7 51901 8 52420 8 52441 1 52939 9 52958 5 53458 10 53476 8 53977 11 53994 10 54496 12 54512 12 55015 29 55534 30 56053 30 56572 31 57091 31 57610 31 58129 32 58648 32 59167 33 59686 33 60205 33 60724 33 61243 33 61762 33 62281 33 62800 33 63319 32 63838 32 64357 31 64876 31 65395 31 65914 31 66433 32 66952 32 67471 33 67990 34 68509 36 69028 37 69547 38 70066 38 70585 39 71104 40 71623 41 72142 42 72661 43 73180 43 73699 44 74218 45 74737 46 75256 47 75307 7 75775 60 76294 62 76813 63 77332 63 77851 64 78370 64 78889 65 79408 65 79927 65 80447 65 80967 64 81486 64 82006 63 82525 63 83045 63 83565 62 84085 61 84604 61 85124 60 85644 59 86163 59 86683 58 87202 58 87722 56 88241 56 88761 55 89280 54 89800 53 90319 52 90839 51 91358 51 91878 51 92397 52 92917 51 93436 52 93956 52 94476 53 94995 55 95515 56 96035 56 96554 57 97073 58 97593 58 98112 58 98632 58 99151 58 99670 59 100190 59 100709 60 101228 61 101748 60 102267 61 102787 61 103306 61 103826 61 104347 60 104867 59 105388 58 105908 58 106428 57 106948 57 107469 55 107990 54 108511 53 109031 53 109551 53 110071 53 110591 54 111111 55 111631 55 112151 55 112671 55 113191 56 113710 58 114230 58 114750 57 115270 57 115790 56 116309 57 116829 56 117348 56 117868 56 118387 56 118907 56 119426 56 119946 56 120466 55 120986 55 121505 56 122025 56 122545 56 123064 57 123584 56 124103 57 124623 57 125143 58 125664 57 125735 1 126184 57 126249 9 126704 57 126766 13 127224 75 127744 75 128264 74 128783 75 129303 74 129822 74 130341 75 130861 74
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118852 1 119371 3 119890 3 120409 4 120928 4 121447 5 121966 5 122485 6 123004 6 123523 6 124042 6 124561 6 125080 7 125599 7 126118 6 126637 6 127156 5 127675 5 128194 3 128713 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24940 2 25455 9 25972 13 26489 16 27006 19 27523 21 28041 23 28559 24 29077 25 29596 25 30114 27 30633 26 31151 27 31670 27 32189 26 32708 26 33227 25 33746 24 34266 22 34785 20 35305 18 35824 16 36344 13 36864 10 37385 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,7317 5 7834 9 8352 11 8870 13 9389 14 9907 16 10426 17 10944 18 11463 19 11982 19 12500 21 13019 21 13538 21 14057 21 14576 21 15095 21 15614 21 16133 20 16652 20 17171 19 17690 19 18210 17 18729 17 19248 16 19767 15 20286 14 20806 12 21325 11 21845 9 22365 7 22886 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29125 12 29641 17 30158 20 30676 21 31194 23 31712 24 32231 24 32749 24 33268 24 33786 24 34305 24 34823 24 35342 23 35861 21 36380 20 36899 19 37418 18 37937 17 38456 16 38976 14 39495 13 40016 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47304 11 47821 15 48339 16 48858 17 49376 18 49895 19 50413 20 50932 21 51452 19 51971 19 52492 15 53015 6 53023 1 53536 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,10458 1 10975 5 11494 6 12012 8 12531 9 13049 10 13568 11 14088 10 14607 10 15127 10 15646 10 16166 9 16686 9 17206 8 17725 8 18244 9 18764 8 19282 9 19801 9 20321 9 20840 8 21360 7 21879 6 22400 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63930 5 64447 9 64964 12 65482 14 66000 15 66519 16 67037 17 67556 18 68074 19 68593 19 69111 21 69630 21 70149 21 70668 21 71187 21 71706 21 72225 21 72745 20 73264 20 73784 19 74303 19 74822 18 75341 18 75861 16 76380 16 76900 14 77419 13 77939 11 78458 10 78978 8 79499 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,50482 3 50998 8 51515 12 52032 15 52550 16 53068 18 53586 19 54104 20 54622 21 55141 21 55659 22 56178 22 56696 22 57215 22 57733 22 58252 21 58771 20 59290 19 59809 18 60328 18 60847 17 61366 17 61885 16 62404 16 62924 14 63443 14 63963 12 64483 9 65004 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,94591 2 95104 1 95108 6 95621 13 96140 13 96658 15 97177 15 97697 14 98216 15 98736 13 99255 13 99774 12 100293 13 100812 13 101332 13 101851 13 102372 11 102893 8 103413 7 103933 5 104454 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25560 3 26077 7 26596 8 27114 10 27633 10 28152 11 28671 11 29190 12 29710 11 30229 12 30750 10 31271 9 31791 8 32309 9 32828 9 33346 10 33866 9 34385 8 34906 6 35428 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,128 22 647 23 1167 22 1686 22 2206 21 2725 21 3245 20 3764 20 4284 18 4803 18 5323 16 5844 14 6364 12 6885 9 7406 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113286 13 113802 18 114319 22 114837 24 115356 25 115874 28 116393 29 116911 30 117430 31 117949 30 118468 30 118988 28 119507 28 120028 25 120549 21 121071 8 121082 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,90473 4 90988 13 91504 18 92021 22 92538 25 93056 26 93575 27 94093 28 94612 28 95131 28 95650 29 96170 28 96689 28 97209 27 97728 27 98248 25 98767 25 99287 23 99807 21 100327 19 100848 16 101370 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,171 9 691 7 1210 7 1731 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,58313 1 58830 8 59347 12 59866 12 60384 14 60901 16 61419 18 61938 18 62456 19 62975 19 63495 17 64014 17 64535 13 65056 10 65576 5 65582 1 66097 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,82186 5 82703 9 83221 11 83739 12 84257 14 84776 14 85294 16 85813 16 86332 17 86851 17 87371 15 87890 15 88409 15 88928 14 89448 13 89967 12 90486 11 91006 8 91525 6 92046 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89997 5 90514 9 91031 13 91549 15 92068 16 92586 18 93105 19 93623 21 94142 22 94662 22 95181 23 95700 23 96219 24 96738 24 97258 23 97777 24 98297 23 98816 23 99336 22 99856 21 100376 20 100895 20 101415 19 101935 17 102455 16 102975 14 103496 10 104018 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,65095 6 65612 10 66129 12 66648 13 67166 14 67685 15 68203 16 68722 17 69241 17 69759 18 70278 18 70798 18 71317 18 71836 18 72354 19 72873 18 73392 18 73911 18 74430 18 74949 18 75468 18 75987 18 76506 18 77025 18 77545 16 78064 16 78583 16 79102 15 79622 14 80141 13 80661 12 81180 11 81700 9 82220 6 82741 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,38114 1 38631 5 39146 9 39663 12 40181 12 40700 12 41218 12 41737 12 42255 12 42774 12 43293 10 43813 8 44332 7 44852 6 45373 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,229 18 747 18 1266 18 1786 16 2305 15 2825 15 3344 14 3362 1 3864 14 3879 5 4385 2 4390 13 4910 13 5429 12 5949 11 6468 10 6988 7 7508 5 8029 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,114954 5 115471 9 115988 11 116506 13 117024 14 117542 16 118060 17 118578 18 119096 19 119614 20 120131 22 120649 23 121166 25 121684 26 122202 26 122721 26 123239 27 123758 28 124277 34 124796 38 125315 40 125834 42 126353 44 126873 44 127392 45 127912 44 128433 10 128445 31 128955 3 128965 30 129484 31 130003 31 130522 31 131042 30
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,33467 2 33984 6 33991 2 34503 11 35021 13 35541 12 36060 13 36580 11 37099 11 37619 8 38138 7 38658 5 39179 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,86410 1 86927 5 87446 5 87964 7 88484 8 89002 11 89521 12 90039 13 90558 14 91078 13 91597 12 92116 12 92636 9 93155 6 93676 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,53726 5 54240 13 54757 18 55275 21 55792 24 56310 26 56829 27 57347 29 57866 30 58384 32 58904 31 59423 32 59942 32 60462 30 60981 31 61501 30 62021 28 62541 27 63061 25 63582 21 64103 18 64624 14 65148 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24690 2 25205 11 25721 16 26238 19 26756 21 27274 23 27792 24 28310 26 28829 26 29347 27 29866 27 30384 28 30903 28 31422 28 31941 28 32460 27 32979 27 33498 26 34017 26 34536 25 35056 23 35575 22 36095 20 36615 17 37136 13 37659 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,82302 2 82819 6 83338 8 83856 11 84375 12 84893 13 85412 14 85931 14 86451 12 86970 12 87491 8 88011 5 88532 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,114491 3 115008 8 115525 12 116043 14 116560 17 117079 18 117597 20 118116 21 118635 22 119153 24 119672 25 120191 25 120710 26 121230 25 121749 25 122269 24 122789 23 123309 22 123830 20 124352 16 124874 13 125396 9 125917 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,129027 4 129544 8 130061 12 130580 12 131098 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,11748 9 12265 13 12782 16 13300 19 13818 21 14336 23 14855 24 15373 26 15892 26 16410 28 16929 28 17448 28 17967 28 18486 27 19006 26 19525 26 20044 25 20564 24 21083 23 21603 22 22123 20 22643 18 23163 17 23684 13 24205 8 24726 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,72480 8 72996 13 73513 17 74031 19 74549 20 75067 22 75585 23 76103 25 76621 26 77139 27 77657 27 78176 27 78694 27 79213 27 79732 26 80251 25 80770 25 81288 25 81807 25 82325 25 82844 23 83363 21 83882 20 84402 17 84921 15 85442 8 85451 2 85963 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,2409 7 2924 13 3441 17 3960 19 4478 20 4997 21 5515 22 6034 21 6554 20 7073 19 7594 15 8116 5 8123 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,41344 11 41861 17 42379 20 42897 23 43415 25 43933 27 44452 27 44970 29 45489 29 46008 29 46526 30 47045 30 47564 29 48083 29 48603 27 49122 26 49642 24 50163 20 50694 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,127523 2 128040 6 128559 6 129077 8 129595 9 130114 9 130632 11 131151 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,10765 3 11279 10 11796 13 12314 15 12832 16 13350 18 13867 20 14385 22 14903 23 15422 23 15940 23 16459 23 16977 24 17496 24 18015 24 18533 24 19052 24 19571 23 20090 22 20609 22 21128 21 21647 20 22166 19 22686 17 23205 15 23726 11 24251 2
